labels,text
1,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
1,First answer my question.
1,I place all ur points on e cultures module already.
0,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
1,You could have seen me..i did't recognise you Face.:)
1,Love you aathi..love u lot..
1,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den..."
1,You still at grand prix?
1,You unbelievable faglord
1,Are you available for soiree on June 3rd?
1,You sure your neighbors didnt pick it up
1,We're done...
1,Dont put your phone on silent mode ok
1,All e best 4 ur exam later.
1,Thnx dude. u guys out 2nite?
1,No just send to you. Bec you in temple na.
1,Got it..mail panren paru..
1,Sent me ur email id soon
1,Audrie lousy autocorrect
1,Love you aathi..love u lot..
1,I dont understand your message.
1,Webpage s not available!
1,Fine. Do you remember me.
1,Is ur lecture over?
1,Ok i've sent u da latest version of da project.
1,So u gonna get deus ex?
1,Also andros ice etc etc
1,I'm gonna rip out my uterus.
1,Can you do online transaction?
1,Yes. Last  practice
1,Love you aathi..love u lot..
1,What time do u get out?
1,Have you laid your airtel line to rest?
1,Ok set let u noe e details later...
1,Yes fine
1,Send me your resume:-)
1,Gd luck 4 ur exams :-)
1,Dont let studying stress you out. L8r.
1,"Like  &lt;#&gt; , same question"
1,Sent me ur email id soon
1,You didnt complete your gist oh.
1,hier ist meine neue Adresse -apples&pairs& all diese malarky
1,Alles Gute damit.
1,Dann tragen dun Jeans lor...
1,"Hey, bist du da?"
1,K:)alles Gute:)gratuliert...
1,Ich habe es..mail panren paru..
1,"Bist du gut, Baby? :)"
1,personal.science.nus.edu.sg/~phyhcmk/unterricht/pc1323
1,Nice.nice.Wie funktioniert es?
1,Willst du da hin?
1,Juz google n suchen 4 qet...
1,Bist du noch da?
1,"Lmao, du kennst mich so gut..."
1,"Allez jusqu'à Jurong point, fou.. Disponible seulement dans bugis n grand monde la e buffet... Cine il y a eu plus..."
1,J'ai fait une blague sur le wif u oni...
0,Entrée libre dans 2 a wkly comp pour gagner FA Cup final tkts 21 mai 2005. Texte FA à 87121 pour recevoir la question d'entrée(std txt rate)T&C's appliquer 08452810075over18's
1,U dun dit si tôt hor... U c déjà dire alors...
1,"Non, je ne pense pas qu'il va à usf, il vit dans le coin."
0,"FreeMsg Hey il ya ma chérie il a été 3 semaines maintenant et aucun mot de retour! J'aimerais que vous vous amusez encore pour elle? Tb ok! XxX std chgs à envoyer, £1,50 à rcv"
1,"Même mon frère n'aime pas me parler, ils me traitent comme un brevet d'aide."
1,"Conformément à votre demande, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' a été définie comme votre callertune pour tous les appelants. Appuyez sur *9 pour copier vos amis Callertune"
0,"WINNER!! En tant que client de réseau apprécié, vous avez été sélectionné pour recevoir une récompense de £900! Pour réclamer un appel 09061701461. Code de réclamation KL341. Valable 12 heures seulement."
0,Avez-vous eu votre mobile 11 mois ou plus? U R a droit à mettre à jour les derniers mobiles couleur avec caméra gratuitement! Appelez The Mobile Update Co GRATUIT au 08002986030
1,"Je vais bientôt rentrer et je ne veux plus parler de ça ce soir, j'ai assez pleuré aujourd'hui."
0,"SIX chances de gagner CASH! De 100 à 20 000 livres txt> CSH11 et envoyer à 87575. Coût 150p/jour, 6jours, 16+ TsandCs appliquer Répondre HL 4 info"
