labels,text
1,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
1,Got meh... When?
0,#ERROR!
1,Wait  &lt;#&gt;  min..
1,Meet after lunch la...
1,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED
0,#ERROR!
1,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.
1,"K, wait chikku..il send aftr  &lt;#&gt; mins"
1,U WILL SWITCH YOUR FONE ON DAMMIT!!
1,Well i will watch shrek in 3D!!B)
0,#ERROR!
1,PICK UR FONE UP NOW U DUMB?
1,CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.
1,K.i will send in  &lt;#&gt;  min:)
1,GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI
1,THANX 4 PUTTIN DA FONE DOWN ON ME!!
1,Which channel:-):-):):-).
1,ILL B DOWN SOON
1,I dunno lei... Like dun haf...
1,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
1,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
1,1 in cbe. 2 in chennai.
1,Wait . I will msg after  &lt;#&gt;  min.
1,"Gehen Sie bis jurong Punkt, verrückt.. Verfügbar nur in buggis n great world la e buffet... Cine there got amore wat..."
0,"Freier Eintritt in 2 a wkly comp zum Gewinn FA Cup Final tkts 21. Mai 2005. Text FA bis 87121, um Eingangsfrage zu erhalten(std txt rate)T&C's gelten 08452810075over18's"
1,U dun sagen so früh... U c schon dann sagen...
1,"Nein, ich glaube nicht, dass er zu unsf geht, er lebt hier in der Nähe."
0,"FreeMsg Hey da Liebling es war 3 Wochen jetzt und kein Wort zurück! Ich möchte etwas Spaß Sie für es noch? Tb ok! XxX std chgs zu senden, £1,50 zu rcv"
1,Selbst mein Bruder ist nicht gern mit mir sprechen. Sie behandeln mich wie Hilfsmittel Patent.
1,"Gemäß Ihrer Anfrage 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" wurde als Anrufer für alle Anrufer eingestellt. Drücken Sie *9, um Ihre Freunde zu kopieren Callertune"
0,"WINNER!! Als geschätzter Netzwerkkunde wurden Sie ausgewählt, um eine Preisbelohnung von £900 zu erhalten! Rufen Sie 09061701461 an. Anspruchscode KL341. Nur gültig 12 Stunden."
0,"Hatte Ihr Handy 11 Monate oder länger? U R berechtigt, die neuesten Farbmobile mit Kamera kostenlos zu aktualisieren! Rufen Sie The Mobile Update Co GRATIS auf 08002986030"
1,"Ich bin bald zu Hause und will heute Abend nicht mehr darüber reden, K? Ich habe heute genug geweint."
0,"SIX Chancen zu gewinnen CASH! Von 100 bis 20.000 Pfund txt> CSH11 und senden an 87575. Kosten 150p / Tag, 6 Tage, 16 + TsandCs gelten Antworten HL 4 info"
0,URGENT! Sie haben eine 1 Woche kostenlose Mitgliedschaft in unserem $100.000 Prize Jackpot gewonnen! Txt das Wort: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
1,"Ich habe nach den richtigen Worten gesucht, um Ihnen für diese Verschnaufpause zu danken. Ich verspreche Ihnen, dass ich Ihre Hilfe nicht für selbstverständlich nehmen und mein Versprechen erfüllen werde."
1,Ich habe ein Date am Sonntag mit Will!!
0,"XXXMobileMovieClub: Um Ihr Guthaben zu nutzen, klicken Sie auf den WAP-Link in der nächsten txt-Nachricht oder klicken Sie hier>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJGCBL"
1,Oh k...ich schaue hier:)
1,"Eh u erinnern, wie 2 seinen Namen buchstabieren... Ja, ich habe. Er v freche machen, bis ich v nass."
1,"Gut, wenn das die Art und Weise u fühlen. Das ist die Art und Weise seine gota b"
0,"England / Mazedonien - verpassen Sie nicht die Tore / Team Nachrichten. Txt ur Nationalmannschaft zu 87077 zB ENGLAND zu 87077 Versuchen:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
1,Schreibst du so ernsthaft seinen Namen?
1,"Ich werde versuchen, für 2 Monate ha ha nur Scherze"
1,"Also zahlen Sie zuerst Lar... dann, wenn da stock comin..."
1,"Wenn ich mein Mittagessen fertig, dann gehe ich str down lor. Ard 3 smth lor. U beenden ur Mittagessen bereits?"
1,Ffffffffff. Kann ich mich nicht früher mit dir treffen?
1,"Ich habe wirklich keinen Hunger. Das ist scheiße. Mark macht sich Sorgen. Er weiß, dass ich krank bin, wenn ich Pizza kippe. Lol"
1,Lol Ihre immer so überzeugend.
1,Hast du den Bus erwischt? Frittest du ein Ei? Hast du einen Tee gemacht? Isst du deine Mutter über das Abendessen übrig? Fühlst du meine Liebe?
1,"Ich bin zurück &amp; Wir packen jetzt das Auto, ich sage Ihnen, wenn es Zimmer gibt"
1,Ahhh. Arbeit. Ich erinnere mich vage daran! Wie fühlt es sich an? Lol
1,"Warten Sie, das ist immer noch nicht alles klar, waren Sie nicht sicher, dass ich sarkastisch oder das ist, warum x will nicht mit uns leben"
1,"Ja, er kam mit 2 und war v entschuldigt. n war ausgefallen und sie war wie verwöhntes Kind handeln und er wurde darin gefangen. Bis 2! Aber wir werden nicht dorthin gehen! Nicht zu schlecht jubeln. Sie?"
1,Erzählen Sie mir etwas über Sie.
1,"Aus Angst vor Ohnmacht mit der ganzen Hausarbeit, die Sie gerade getan haben? Schnell haben einen Cuppa"
0,"Vielen Dank für Ihr Abonnement an Ringtone UK Ihr Handy wird berechnet £5/Monat Bitte bestätigen Sie, indem Sie JA oder NEIN. Wenn Sie antworten NEIN werden Sie nicht berechnet"
